REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
43070,2010,01,1,59,9,09,,2,1,4,1,,,2,3,10,07,31,,,,275,240,2,275,240,0,,0,0,0,5,161,,1679,3,1,2,4,,,,,,,,,,,,,,,,,1,10,4,639
43071,2010,01,1,12,0,06,,2,1,6,1,,,1,3,16,05,20,,,,400,650,1,400,650,0,,0,250,250,,91,,3846,1,1,2,2,,,,,,,,,,,,,,,,,1,03,1,143
43072,2010,01,4,35,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,11,,388
43073,2010,01,4,12,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,1,05,,144
43074,2010,01,1,35,0,09,,2,1,2,1,,,2,3,12,02,09,,,,400,460,1,400,460,0,,60,0,60,,224,,1683,3,1,2,4,,,,,,,,,,,,,,,,,1,08,,516
43075,2010,01,4,24,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,08,,141
43076,2010,01,2,59,0,06,,2,3,5,1,,,2,3,08,07,33,1,51,2,400,0,1,400,0,,,,,,,105,,2404,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,173
43077,2010,01,4,35,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,215
43078,2010,01,1,35,0,03,6,1,1,4,1,,,2,3,20,07,34,,,,400,320,1,400,320,80,1,0,0,0,,36,,1645,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,456
43079,2010,01,4,35,0,10,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,1,07,4,263
43080,2010,01,1,24,0,09,,1,2,0,1,,,2,3,08,10,42,,,,300,300,1,300,300,0,,0,0,0,,74,,1150,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,342
43081,2010,01,1,46,6,02,4,1,6,3,1,,,2,3,19,07,32,,,,330,270,1,330,270,0,,0,0,0,,44,,1250,3,1,3,4,,,,,,,,,,,,,,,,,3,06,,136
43082,2010,01,1,47,0,04,,1,6,5,2,,,1,3,16,05,20,,,,160,160,2,240,240,0,,0,0,0,7,24,,2188,1,3,4,4,,,,,,,,,,,,,,,,,1,01,,129
43083,2010,01,4,35,0,09,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,11,,166
43084,2010,01,1,46,0,02,3,1,2,1,1,,,2,3,06,08,38,,,,550,550,1,550,550,0,,0,0,0,,5,,1600,3,1,1,1,,,,,,,,,,,,,,,,,1,05,,41
43085,2010,01,4,47,0,02,3,1,6,3,,1,1,1,3,21,08,38,,,,,,,,,,,,,,,,2,,,,,,,,,3,05,8,,,,,,,,,,,2,03,,75
43086,2010,01,1,48,0,01,2,2,6,1,1,,,2,3,19,07,34,,,,250,200,2,250,200,0,,0,0,0,6,13,,910,3,1,2,4,,,,,,,,,,,,,,,,,3,15,,47
43087,2010,01,1,46,6,10,,2,1,4,1,,,1,3,16,05,25,,,,275,275,2,275,275,0,,0,0,0,5,136,,2035,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,168
43088,2010,01,1,47,0,02,3,1,6,4,1,,,2,3,20,08,35,,,,500,400,1,500,400,100,1,0,0,0,,31,,2500,1,1,1,1,,,,,,,,,,,,,,,,,1,15,,127
43089,2010,01,1,13,0,06,,2,1,1,1,,,2,3,01,02,07,,,,350,320,1,350,320,0,,0,0,0,,240,,1250,3,1,1,1,,,,,,,,,,,,,,,,,1,04,4,94
43090,2010,01,4,13,0,05,,2,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,1,06,1,113
43091,2010,01,1,35,0,01,2,2,6,2,1,,,1,3,21,02,09,,,,195,285,2,195,285,0,,90,0,90,4,19,,1135,3,3,4,4,,,,,,,,,,,,,,,,,3,04,,118
43092,2010,01,3,48,8,08,,1,5,3,,1,1,2,3,10,07,32,,,,,,,,,,,,,,,,1,,,,,,8,6,1,1,01,12,2,,,,,1,,0,,,1,01,,134
43093,2010,01,1,35,4,08,,1,1,2,1,,,6,2,12,07,32,,,,400,400,1,400,400,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,1,03,3,759
43094,2010,01,1,46,0,05,,2,1,3,1,,,6,3,17,05,24,,,,550,550,1,550,550,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,1,03,1,33
43095,2010,01,1,13,0,06,,1,2,1,1,,,2,3,10,08,36,,,,410,410,1,410,410,0,,0,0,0,,9,,1000,3,1,2,3,,,,,,,,,,,,,,,,,1,03,1,145
43096,2010,01,4,12,0,09,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,1,18,,144
43097,2010,01,1,24,2,05,,2,2,5,1,,,1,3,16,05,20,,,,350,350,1,350,350,0,,0,0,0,,161,,3242,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,574
43098,2010,01,4,12,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,88
43099,2010,01,1,35,0,08,,1,1,4,1,,,2,3,08,08,35,,,,420,420,1,420,420,0,,0,0,0,,240,,2600,1,1,4,4,,,,,,,,,,,,,,,,,1,07,4,276
43100,2010,01,1,35,0,01,2,2,6,2,1,,,2,3,19,07,34,,,,400,400,1,400,400,0,,0,0,0,,8,,950,3,1,2,2,,,,,,,,,,,,,,,,,1,09,,155
43101,2010,01,4,24,2,09,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,1,05,,519
43102,2010,01,1,24,2,09,,1,1,5,1,,,1,3,17,02,07,,,,400,380,1,400,380,80,3,0,60,60,,17,,4808,3,1,4,4,,,,,,,,,,,,,,,,,1,03,3,577
43103,2010,01,1,59,0,08,,1,1,4,1,,,2,3,08,08,35,,,,400,400,1,400,400,0,,0,0,0,,240,,3500,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,154
43104,2010,01,1,35,0,07,,2,1,4,1,,,1,3,11,08,36,,,,400,400,1,400,400,0,,0,0,0,,91,,2132,1,1,3,3,,,,,,,,,,,,,,,,,1,04,4,94
43105,2010,01,4,59,9,12,,1,3,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,132
43106,2010,01,1,35,3,09,,2,6,4,1,,,1,3,21,03,13,,,,375,300,1,375,300,75,3,0,0,0,,167,,3692,1,1,1,4,,,,,,,,,,,,,,,,,1,01,,370
43107,2010,01,1,48,8,04,,2,1,5,1,,,1,3,16,06,28,,,,400,600,1,400,600,0,,0,200,200,,58,,3173,1,3,3,3,,,,,,,,,,,,,,,,,1,03,1,417
43108,2010,01,1,47,0,07,,1,1,1,1,,,6,3,11,08,36,,,,550,550,1,550,550,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,,1,04,4,86
43109,2010,01,2,46,0,09,,2,1,4,1,,,6,3,15,09,39,0,10,,200,0,2,200,0,,,,,,5,116,,,,,,,,,,,,,,,,,,,,,,,1,02,,102
